StationID,PassengerType,Passenger,DateID
1,1,3729,20220101
1,2,3343,20220101
2,1,2997,20220101
2,2,3318,20220101
3,1,659,20220101
3,2,674,20220101
4,1,1269,20220101
4,2,1315,20220101
5,1,1564,20220101
5,2,1699,20220101
6,1,2552,20220101
6,2,2675,20220101
7,1,920,20220101
7,2,829,20220101
8,1,3828,20220101
8,2,3665,20220101
1,1,4158,20220102
1,2,3160,20220102
2,1,3399,20220102
2,2,3395,20220102
3,1,702,20220102
3,2,743,20220102
4,1,1313,20220102
4,2,1444,20220102
5,1,1421,20220102
5,2,1766,20220102
6,1,2709,20220102
6,2,2930,20220102
7,1,949,20220102
7,2,854,20220102
8,1,3817,20220102
8,2,4176,20220102
1,1,5546,20220103
1,2,3405,20220103
2,1,3572,20220103
2,2,3647,20220103
3,1,818,20220103
3,2,768,20220103
4,1,1408,20220103
4,2,1586,20220103
5,1,1665,20220103
5,2,2219,20220103
6,1,2876,20220103
6,2,3582,20220103
7,1,1062,20220103
7,2,978,20220103
8,1,4103,20220103
8,2,4865,20220103
1,1,5270,20220104
1,2,3809,20220104
2,1,5579,20220104
2,2,5670,20220104
3,1,1793,20220104
3,2,1757,20220104
4,1,2599,20220104
4,2,2760,20220104
5,1,3021,20220104
5,2,3369,20220104
6,1,5020,20220104
6,2,5535,20220104
7,1,1565,20220104
7,2,1597,20220104
8,1,6363,20220104
8,2,6713,20220104
1,1,5304,20220105
1,2,3635,20220105
2,1,5465,20220105
2,2,5665,20220105
3,1,1839,20220105
3,2,1805,20220105
4,1,2753,20220105
4,2,2717,20220105
5,1,3098,20220105
5,2,3422,20220105
6,1,4973,20220105
6,2,5694,20220105
7,1,1575,20220105
7,2,1585,20220105
8,1,6275,20220105
8,2,6759,20220105
1,1,5027,20220106
1,2,3825,20220106
2,1,5435,20220106
2,2,5547,20220106
3,1,1891,20220106
3,2,1877,20220106
4,1,2730,20220106
4,2,2718,20220106
5,1,3147,20220106
5,2,3374,20220106
6,1,4968,20220106
6,2,5546,20220106
7,1,1625,20220106
7,2,1627,20220106
8,1,6297,20220106
8,2,6606,20220106
1,1,4766,20220107
1,2,3724,20220107
2,1,5565,20220107
2,2,5600,20220107
3,1,1842,20220107
3,2,1752,20220107
4,1,2681,20220107
4,2,2623,20220107
5,1,3195,20220107
5,2,3332,20220107
6,1,5023,20220107
6,2,5602,20220107
7,1,1609,20220107
7,2,1635,20220107
8,1,6321,20220107
8,2,6734,20220107
1,1,4214,20220108
1,2,3332,20220108
2,1,4012,20220108
2,2,4221,20220108
3,1,1068,20220108
3,2,1068,20220108
4,1,1824,20220108
4,2,1820,20220108
5,1,2088,20220108
5,2,2215,20220108
6,1,3621,20220108
6,2,4026,20220108
7,1,1254,20220108
7,2,1186,20220108
8,1,4633,20220108
8,2,4846,20220108
1,1,4014,20220109
1,2,3182,20220109
2,1,3739,20220109
2,2,3757,20220109
3,1,800,20220109
3,2,771,20220109
4,1,1464,20220109
4,2,1480,20220109
5,1,1636,20220109
5,2,1928,20220109
6,1,3111,20220109
6,2,3428,20220109
7,1,1098,20220109
7,2,941,20220109
8,1,4012,20220109
8,2,4387,20220109
1,1,4306,20220110
1,2,3617,20220110
2,1,5458,20220110
2,2,5432,20220110
3,1,1800,20220110
3,2,1716,20220110
4,1,2578,20220110
4,2,2575,20220110
5,1,3196,20220110
5,2,3372,20220110
6,1,5045,20220110
6,2,5407,20220110
7,1,1575,20220110
7,2,1538,20220110
8,1,6081,20220110
8,2,6382,20220110
1,1,4284,20220111
1,2,3426,20220111
2,1,5145,20220111
2,2,5199,20220111
3,1,1786,20220111
3,2,1707,20220111
4,1,2591,20220111
4,2,2565,20220111
5,1,3066,20220111
5,2,3130,20220111
6,1,4864,20220111
6,2,5297,20220111
7,1,1526,20220111
7,2,1602,20220111
8,1,5782,20220111
8,2,6118,20220111
1,1,3895,20220112
1,2,3490,20220112
2,1,5149,20220112
2,2,5089,20220112
3,1,1746,20220112
3,2,1645,20220112
4,1,2568,20220112
4,2,2491,20220112
5,1,2946,20220112
5,2,3063,20220112
6,1,4687,20220112
6,2,5152,20220112
7,1,1547,20220112
7,2,1529,20220112
8,1,5717,20220112
8,2,5796,20220112
1,1,3973,20220113
1,2,3532,20220113
2,1,5115,20220113
2,2,5042,20220113
3,1,1704,20220113
3,2,1599,20220113
4,1,2480,20220113
4,2,2462,20220113
5,1,3059,20220113
5,2,3107,20220113
6,1,4601,20220113
6,2,5003,20220113
7,1,1537,20220113
7,2,1534,20220113
8,1,5728,20220113
8,2,5918,20220113
1,1,4557,20220114
1,2,3818,20220114
2,1,5775,20220114
2,2,5623,20220114
3,1,1795,20220114
3,2,1741,20220114
4,1,2710,20220114
4,2,2647,20220114
5,1,3140,20220114
5,2,3275,20220114
6,1,5091,20220114
6,2,5687,20220114
7,1,1647,20220114
7,2,1636,20220114
8,1,6379,20220114
8,2,6667,20220114
1,1,4074,20220115
1,2,3513,20220115
2,1,4281,20220115
2,2,4339,20220115
3,1,1028,20220115
3,2,987,20220115
4,1,1813,20220115
4,2,1803,20220115
5,1,2157,20220115
5,2,2314,20220115
6,1,3869,20220115
6,2,4182,20220115
7,1,1199,20220115
7,2,1151,20220115
8,1,4806,20220115
8,2,4938,20220115
1,1,4042,20220116
1,2,3006,20220116
2,1,3684,20220116
2,2,3746,20220116
3,1,831,20220116
3,2,782,20220116
4,1,1468,20220116
4,2,1499,20220116
5,1,1725,20220116
5,2,2001,20220116
6,1,3142,20220116
6,2,3534,20220116
7,1,1061,20220116
7,2,915,20220116
8,1,4025,20220116
8,2,4495,20220116
1,1,4105,20220117
1,2,3234,20220117
2,1,5494,20220117
2,2,5440,20220117
3,1,1848,20220117
3,2,1750,20220117
4,1,2591,20220117
4,2,2625,20220117
5,1,3094,20220117
5,2,3253,20220117
6,1,5099,20220117
6,2,5540,20220117
7,1,1497,20220117
7,2,1488,20220117
8,1,5880,20220117
8,2,6278,20220117
1,1,4119,20220118
1,2,3250,20220118
2,1,5361,20220118
2,2,5305,20220118
3,1,1802,20220118
3,2,1767,20220118
4,1,2701,20220118
4,2,2676,20220118
5,1,3166,20220118
5,2,3122,20220118
6,1,5091,20220118
6,2,5572,20220118
7,1,1517,20220118
7,2,1535,20220118
8,1,5664,20220118
8,2,6194,20220118
1,1,4017,20220119
1,2,3257,20220119
2,1,5396,20220119
2,2,5433,20220119
3,1,1836,20220119
3,2,1773,20220119
4,1,2631,20220119
4,2,2657,20220119
5,1,3113,20220119
5,2,3250,20220119
6,1,5101,20220119
6,2,5541,20220119
7,1,1598,20220119
7,2,1513,20220119
8,1,5842,20220119
8,2,6110,20220119
1,1,3900,20220120
1,2,3617,20220120
2,1,5555,20220120
